Hours_Studied,Attendance,Sleep_Hours,Motivation_Level,Parental_Involvement,Access_to_Resources,Tutoring_Sessions,Internet_Access,Extracurricular_Activities,Peer_Influence,Learning_Disabilities,Physical_Activity,Gender
24,68,8,Low,High,Medium,3,Yes,No,Neutral,No,1,Male
21,84,6,Low,Medium,Medium,1,Yes,Yes,Neutral,Yes,2,Female
19,63,7,Medium,Low,High,1,Yes,No,Positive,No,3,Male
18,94,7,Medium,Medium,High,3,Yes,Yes,Negative,Yes,2,Male
11,98,9,Low,Medium,Medium,1,Yes,Yes,Positive,No,3,Male
16,70,8,Medium,Medium,Medium,2,Yes,Yes,Positive,No,3,Male
17,78,6,Medium,Medium,Medium,1,Yes,Yes,Positive,No,3,Female
26,61,6,Medium,Medium,Low,2,Yes,Yes,Positive,No,3,Female
22,86,7,Low,Low,Medium,3,Yes,Yes,Positive,No,2,Male
9,77,5,Medium,Medium,Medium,2,Yes,No,Neutral,No,3,Male
22,71,7,Low,Low,Medium,1,Yes,Yes,Positive,No,4,Male
18,68,7,Medium,High,Medium,0,Yes,No,Neutral,No,3,Male
16,86,8,Medium,Low,Medium,2,Yes,Yes,Positive,No,4,Male
24,77,8,Medium,High,Low,0,Yes,No,Neutral,No,3,Female
26,67,7,Low,Medium,High,2,Yes,Yes,Neutral,Yes,4,Female
26,88,5,Medium,Medium,High,1,Yes,Yes,Positive,No,4,Male
15,83,5,Low,Medium,High,1,No,No,Neutral,Yes,2,Female
18,94,6,High,Medium,Medium,1,Yes,Yes,Positive,No,4,Male
22,65,8,Medium,High,Low,2,Yes,No,Positive,No,1,Female
26,91,8,Medium,Medium,Low,0,Yes,Yes,Neutral,No,3,Male
17,87,7,Medium,Medium,Medium,1,Yes,No,Negative,No,5,Female
19,65,10,Low,Medium,Medium,0,Yes,Yes,Positive,No,3,Male
13,88,9,High,Low,High,2,Yes,Yes,Negative,No,4,Male
13,78,9,High,Medium,High,2,Yes,Yes,Neutral,No,3,Male
25,98,8,Medium,Low,High,0,No,Yes,Neutral,No,3,Male
28,66,8,Medium,Medium,High,0,Yes,Yes,Neutral,No,2,Male
20,86,8,Medium,Medium,Medium,1,Yes,Yes,Negative,No,3,Male
26,75,4,High,Low,High,3,Yes,Yes,Positive,No,2,Male
22,98,5,Low,Medium,High,1,No,No,Negative,No,4,Female
16,73,7,Medium,Medium,Medium,1,Yes,No,Negative,No,4,Male
22,98,7,Medium,Medium,Low,3,No,Yes,Positive,No,3,Female
29,96,7,Medium,Medium,Low,1,Yes,Yes,Positive,No,3,Male
20,71,7,Medium,Medium,Medium,1,Yes,Yes,Neutral,No,4,Female
29,92,4,Medium,Low,Medium,2,Yes,No,Negative,No,1,Female
4,100,8,High,High,High,0,Yes,Yes,Positive,No,4,Male
25,70,7,Medium,Medium,Medium,1,Yes,No,Positive,No,3,Female
21,77,7,Medium,Low,Medium,4,Yes,Yes,Neutral,No,3,Male
18,81,8,Medium,High,Low,0,Yes,Yes,Neutral,No,3,Female
21,72,5,Medium,Medium,Medium,1,Yes,Yes,Neutral,Yes,5,Male
8,61,7,Medium,Medium,Medium,1,Yes,Yes,Positive,No,3,Male
19,69,7,High,Medium,High,1,Yes,Yes,Negative,No,2,Male
22,71,6,High,High,Medium,1,Yes,No,Positive,No,3,Male
29,78,4,Low,High,High,5,Yes,Yes,Neutral,No,3,Male
17,67,5,High,Medium,Medium,2,Yes,Yes,Negative,No,3,Female
15,95,7,Medium,Medium,Medium,2,Yes,No,Positive,No,4,Male
17,88,7,Low,Medium,High,0,Yes,Yes,Neutral,No,3,Male
25,63,7,Medium,Medium,High,3,Yes,Yes,Negative,No,4,Male
22,86,6,Medium,Low,Low,2,Yes,No,Neutral,No,0,Male
17,86,5,High,Medium,High,3,Yes,No,Neutral,No,3,Male
23,98,7,Low,Medium,Low,0,Yes,Yes,Negative,No,3,Female
21,60,7,Medium,High,Medium,0,Yes,No,Neutral,Yes,4,Male
26,70,8,Medium,Medium,Low,1,Yes,Yes,Neutral,Yes,4,Female
16,97,6,Low,Medium,Medium,0,Yes,Yes,Positive,No,4,Male
18,97,4,Low,High,Medium,0,Yes,Yes,Positive,No,3,Male
18,89,4,Medium,High,Medium,3,Yes,Yes,Positive,No,2,Female
11,91,6,Medium,Medium,Medium,3,Yes,No,Neutral,No,3,Male
22,64,7,Low,Low,Medium,1,No,No,Negative,No,3,Male
22,81,7,Low,Medium,Medium,2,Yes,Yes,Positive,No,3,Female
20,69,6,Medium,High,High,2,Yes,Yes,Positive,No,3,Male
19,67,5,High,Low,Medium,0,Yes,No,Positive,No,3,Male
12,92,4,High,Medium,Medium,2,Yes,No,Neutral,Yes,3,Male
17,65,8,Medium,Medium,High,1,Yes,Yes,Neutral,Yes,4,Female
18,79,7,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,3,Male
15,98,6,High,High,Medium,0,Yes,No,Positive,No,3,Male
19,67,5,High,Medium,Medium,1,Yes,No,Negative,No,3,Male
22,99,6,Low,Medium,Low,3,Yes,Yes,Negative,No,4,Male
31,100,7,Medium,Medium,Medium,2,Yes,No,Positive,No,5,Male
21,82,7,High,Medium,High,3,Yes,Yes,Positive,Yes,3,Female
22,67,7,High,Medium,Medium,3,Yes,Yes,Positive,No,2,Female
20,73,9,Medium,High,Medium,2,Yes,Yes,Positive,No,3,Male
8,77,6,Medium,High,Medium,0,Yes,Yes,Neutral,No,2,Male
20,72,9,Medium,Medium,Medium,3,Yes,No,Positive,No,3,Male
20,71,7,High,Low,High,2,Yes,Yes,Negative,No,5,Male
35,99,7,Low,High,High,2,Yes,Yes,Neutral,No,2,Female
19,66,8,Medium,Medium,Medium,1,Yes,No,Neutral,No,3,Female
22,89,6,Medium,High,High,1,Yes,Yes,Positive,No,3,Female
20,60,7,High,Low,High,2,Yes,No,Positive,Yes,4,Male
13,84,5,Medium,Medium,Medium,1,Yes,No,Positive,No,2,Male
27,97,8,Medium,Low,High,0,Yes,Yes,Positive,No,5,Female
25,72,8,Low,High,High,2,Yes,Yes,Positive,No,4,Female
25,67,9,High,High,Medium,2,Yes,No,Positive,Yes,3,Female
15,86,7,Medium,Medium,Medium,1,Yes,Yes,Negative,No,3,Male
28,89,9,High,Low,High,0,Yes,Yes,Positive,No,1,Female
12,88,6,Low,Low,Medium,2,Yes,No,Positive,No,2,Male
24,73,8,Medium,Medium,High,4,Yes,Yes,Neutral,Yes,3,Male
33,70,6,Low,Medium,Medium,1,Yes,Yes,Neutral,No,4,Male
14,98,7,Medium,Medium,Medium,0,Yes,No,Positive,No,4,Female
17,97,8,Medium,Medium,Medium,1,Yes,No,Neutral,No,4,Male
21,78,10,Medium,Medium,Medium,1,Yes,Yes,Positive,No,2,Male
17,94,8,Low,Low,Medium,4,Yes,Yes,Neutral,No,6,Female
11,78,8,Medium,Medium,High,2,Yes,Yes,Neutral,No,3,Male
20,77,6,Low,Medium,Medium,0,Yes,No,Positive,No,4,Female
14,66,7,Medium,High,Low,3,Yes,No,Negative,No,3,Male
23,77,7,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,2,Male
14,81,9,Medium,Medium,Medium,1,Yes,No,Negative,No,3,Female
29,61,7,Low,Medium,High,3,Yes,Yes,Positive,No,3,Female
15,78,9,Low,High,High,1,Yes,No,Negative,No,1,Male
18,91,5,Medium,Low,Medium,1,Yes,Yes,Neutral,No,3,Female
25,87,9,High,Medium,Low,1,Yes,No,Positive,No,2,Male
13,85,6,Medium,High,Medium,0,Yes,No,Neutral,Yes,1,Male
21,96,8,High,Medium,Medium,2,Yes,No,Neutral,No,0,Male
28,61,6,High,Medium,High,1,Yes,No,Negative,Yes,3,Male
10,82,8,Medium,Medium,Low,3,Yes,No,Positive,Yes,1,Female
21,91,6,Medium,High,Medium,0,Yes,No,Neutral,No,2,Female
22,82,9,Medium,Medium,Medium,2,Yes,No,Negative,Yes,2,Female
25,73,8,High,Medium,High,0,No,No,Negative,No,5,Female
13,65,6,Medium,Low,High,0,Yes,No,Negative,No,4,Male
12,96,8,Medium,Low,High,2,Yes,Yes,Negative,No,3,Female
23,79,8,Low,High,High,3,Yes,Yes,Negative,Yes,3,Female
22,95,6,Medium,Medium,High,1,Yes,Yes,Positive,No,3,Female
22,83,5,Medium,Medium,High,2,Yes,Yes,Positive,No,3,Female
22,87,5,Low,High,High,2,Yes,No,Negative,No,3,Female
16,92,5,Low,Medium,High,1,Yes,Yes,Neutral,No,2,Male
21,86,5,Medium,Low,Medium,2,Yes,Yes,Positive,No,2,Female
22,76,8,Medium,Medium,Medium,1,Yes,Yes,Neutral,No,4,Female
16,81,8,Medium,Medium,Medium,3,Yes,Yes,Positive,No,2,Female
31,92,4,Medium,Medium,Medium,2,Yes,Yes,Positive,Yes,4,Male
23,75,6,Low,Low,High,0,Yes,No,Neutral,No,2,Male
13,76,5,Low,Medium,High,2,Yes,No,Positive,No,4,Female
24,64,8,High,Medium,Medium,0,Yes,Yes,Negative,No,3,Male
14,97,6,Medium,Medium,Medium,2,Yes,Yes,Negative,Yes,3,Female
25,64,5,Low,Medium,High,2,Yes,No,Neutral,No,4,Male
27,86,7,Low,Medium,Medium,1,Yes,No,Positive,No,4,Male
15,77,8,Low,Medium,Medium,0,Yes,Yes,Positive,No,3,Male
26,76,6,Medium,Medium,High,4,Yes,Yes,Neutral,No,3,Male
22,87,7,Medium,High,Low,0,No,Yes,Neutral,No,2,Male
25,63,6,Medium,High,Medium,1,Yes,Yes,Positive,No,3,Male
31,84,9,Medium,Medium,Medium,2,Yes,Yes,Neutral,No,3,Male
19,91,6,Medium,High,Low,5,Yes,No,Neutral,No,4,Male
15,93,6,Medium,High,Medium,2,Yes,No,Positive,No,4,Male
15,67,7,High,Medium,Medium,1,Yes,Yes,Positive,No,3,Male
15,96,7,High,Medium,Medium,3,No,No,Negative,No,2,Male
20,86,8,Medium,High,Low,1,Yes,No,Neutral,Yes,4,Female
22,95,9,Low,Medium,High,0,Yes,No,Positive,No,2,Male
22,79,9,Medium,Medium,Medium,1,Yes,No,Positive,No,3,Male
25,82,6,Medium,Medium,Medium,3,No,No,Positive,No,3,Female
20,97,7,Low,Medium,Medium,2,Yes,Yes,Positive,No,3,Male
29,96,9,Low,Medium,Medium,0,No,Yes,Neutral,No,2,Female
18,78,9,High,Medium,Medium,2,Yes,No,Neutral,No,4,Female
36,71,6,Medium,Medium,Medium,2,Yes,Yes,Positive,No,2,Male
24,76,8,Low,Low,High,2,Yes,No,Neutral,No,1,Male
15,76,8,Medium,High,High,1,Yes,No,Neutral,No,4,Male
14,71,8,Low,Medium,Medium,2,Yes,Yes,Neutral,No,4,Male
23,71,9,Low,Low,Low,1,Yes,Yes,Negative,No,2,Male
19,94,5,Medium,Low,Medium,3,Yes,Yes,Positive,No,2,Male
24,63,6,Medium,Medium,Low,1,Yes,Yes,Neutral,No,5,Female
23,87,8,High,High,High,0,Yes,Yes,Positive,No,3,Male
20,67,7,Medium,Low,Medium,0,Yes,Yes,Neutral,No,4,Male
15,74,4,Low,Low,High,3,Yes,Yes,Positive,No,3,Female
11,62,5,Medium,Medium,High,3,Yes,Yes,Neutral,No,4,Male
17,71,8,Medium,Medium,Medium,5,Yes,Yes,Positive,No,1,Male
25,91,8,Low,Medium,Medium,2,Yes,No,Positive,No,0,Male
21,95,5,High,Medium,Medium,1,Yes,No,Positive,No,4,Male
13,69,9,Low,Medium,Low,0,Yes,Yes,Neutral,No,4,Female
21,79,7,Low,Medium,High,2,Yes,Yes,Negative,No,4,Male
22,79,5,Medium,High,Medium,4,Yes,No,Negative,No,3,Male
15,95,6,Low,Low,Low,1,Yes,Yes,Negative,No,5,Male
21,91,5,Medium,Medium,High,1,Yes,Yes,Neutral,No,2,Male
20,81,6,High,High,Medium,3,No,Yes,Neutral,Yes,4,Male
13,87,4,Medium,High,Low,2,Yes,Yes,Neutral,No,3,Female
22,94,7,High,Low,Medium,2,Yes,Yes,Neutral,No,2,Female
23,60,8,Medium,High,Medium,1,Yes,Yes,Positive,No,4,Male
26,76,5,Medium,Medium,Medium,1,Yes,Yes,Positive,No,4,Male
26,96,7,Medium,Medium,Medium,3,Yes,Yes,Positive,No,3,Female
12,90,6,Medium,Medium,Low,1,No,Yes,Neutral,No,3,Male
14,82,8,Medium,Medium,Medium,1,Yes,No,Positive,No,3,Male
23,81,4,Medium,Low,Medium,1,Yes,Yes,Neutral,No,3,Male
23,74,8,Low,Medium,High,0,Yes,Yes,Negative,Yes,3,Male
23,81,4,Medium,Medium,Low,2,Yes,No,Positive,No,5,Male
43,86,7,Medium,High,Medium,2,Yes,Yes,Positive,No,1,Female
23,77,6,Low,Medium,High,1,Yes,Yes,Positive,No,2,Female
27,89,6,Medium,Medium,High,3,Yes,Yes,Positive,No,3,Male
26,94,5,High,Medium,High,1,Yes,No,Positive,No,2,Male
24,66,9,Low,Medium,Low,1,Yes,No,Neutral,Yes,2,Female
18,78,5,Medium,High,Medium,2,No,Yes,Neutral,No,4,Male
25,76,5,High,Medium,Medium,3,Yes,Yes,Neutral,No,3,Female
15,87,10,Medium,Medium,High,2,Yes,Yes,Positive,No,3,Male
19,70,7,High,Medium,Low,0,Yes,No,Positive,Yes,2,Male
17,86,5,Low,High,Low,2,No,No,Neutral,No,4,Male
20,95,7,Low,Low,Medium,2,No,Yes,Neutral,No,3,Female
34,77,7,Low,Medium,Low,0,Yes,Yes,Positive,No,3,Male
9,96,4,High,Medium,Medium,0,No,Yes,Positive,No,4,Male
24,100,6,Low,High,High,2,Yes,Yes,Positive,No,5,Male
10,64,7,High,Medium,High,0,Yes,No,Positive,Yes,4,Female
17,69,9,Medium,High,Medium,2,Yes,Yes,Positive,Yes,4,Female
27,98,7,Low,Low,High,1,Yes,Yes,Positive,No,3,Female
20,98,7,Low,Medium,Low,1,Yes,No,Neutral,No,2,Female
14,64,6,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,3,Male
16,61,9,Low,Medium,Medium,2,Yes,No,Positive,No,2,Male
24,66,8,High,High,Low,1,Yes,Yes,Neutral,No,4,Male
16,100,8,High,High,Low,2,Yes,Yes,Negative,No,3,Male
21,67,7,Low,Medium,Medium,3,Yes,No,Neutral,No,2,Female
20,80,5,Medium,Medium,High,0,Yes,No,Positive,Yes,4,Female
16,94,9,Medium,High,High,0,Yes,Yes,Neutral,No,2,Male
33,61,7,High,Medium,Medium,2,Yes,No,Neutral,No,3,Female
24,84,7,Low,High,Low,3,Yes,No,Positive,No,3,Female
8,71,8,Medium,High,Low,0,Yes,No,Positive,No,3,Male
21,94,7,Low,Medium,Medium,0,Yes,No,Neutral,Yes,2,Male
16,71,5,Medium,High,Medium,1,Yes,Yes,Neutral,Yes,0,Male
25,87,7,Low,Medium,Low,0,Yes,Yes,Neutral,Yes,4,Male
15,87,4,Medium,Low,Medium,1,Yes,No,Neutral,No,6,Male
19,69,7,High,Medium,Medium,3,Yes,Yes,Neutral,No,4,Male
23,61,9,Medium,Low,Medium,4,Yes,No,Neutral,No,2,Male
25,76,4,Medium,Medium,High,2,Yes,Yes,Negative,No,3,Female
13,72,7,Medium,High,High,0,Yes,No,Neutral,No,4,Male
18,92,8,Medium,Low,Medium,1,Yes,Yes,Positive,No,3,Male
17,92,8,Medium,Low,Low,2,Yes,Yes,Neutral,No,3,Female
16,78,6,Medium,Medium,High,0,Yes,No,Neutral,Yes,3,Male
31,84,5,High,Medium,Medium,0,Yes,No,Positive,No,3,Male
22,84,6,Low,Medium,Medium,0,Yes,Yes,Neutral,No,5,Female
12,93,9,Low,Medium,Medium,1,Yes,Yes,Neutral,No,3,Male
26,77,4,Low,Low,Medium,2,Yes,No,Neutral,Yes,3,Female
33,71,5,Medium,Low,Medium,1,Yes,No,Positive,No,2,Male
26,71,6,Low,High,Medium,1,No,Yes,Positive,No,3,Male
11,81,6,High,Medium,Medium,3,Yes,Yes,Neutral,No,4,Male
17,78,7,Medium,Medium,High,2,No,Yes,Positive,No,3,Male
28,78,9,High,High,Medium,2,Yes,No,Neutral,No,4,Female
16,64,5,Medium,High,Low,3,Yes,Yes,Positive,No,4,Female
23,89,7,Low,Low,Low,4,Yes,Yes,Positive,No,4,Female
25,69,7,Low,Medium,Medium,1,No,Yes,Positive,No,4,Female
14,68,6,Medium,High,Medium,1,Yes,No,Neutral,Yes,3,Male
20,77,5,Low,Medium,Medium,2,Yes,No,Neutral,No,2,Female
1,69,6,Medium,High,Medium,1,Yes,Yes,Positive,No,3,Female
14,83,6,Medium,Medium,Low,0,Yes,Yes,Positive,No,2,Female
18,75,8,Medium,Low,High,1,Yes,Yes,Neutral,No,2,Female
13,78,8,High,Medium,High,0,Yes,Yes,Neutral,No,3,Male
30,81,5,Medium,Medium,Low,1,Yes,Yes,Negative,No,1,Male
11,68,6,Medium,Medium,Medium,2,Yes,No,Positive,No,3,Female
17,66,6,Medium,Low,High,1,Yes,No,Positive,No,6,Male
21,95,10,Low,Low,Low,0,Yes,No,Neutral,Yes,4,Male
29,77,7,Medium,High,High,2,Yes,Yes,Negative,Yes,3,Female
11,76,5,Medium,Low,Medium,4,Yes,Yes,Negative,No,2,Male
27,61,6,Medium,Medium,Medium,1,Yes,No,Positive,No,3,Male
20,80,6,Medium,High,Low,0,Yes,Yes,Neutral,No,2,Male
14,82,8,Low,Medium,High,2,Yes,Yes,Negative,No,5,Female
23,82,8,Medium,Low,Medium,1,Yes,Yes,Negative,Yes,2,Male
21,88,7,Medium,Medium,High,4,Yes,No,Positive,No,3,Female
16,67,7,High,Medium,High,3,Yes,No,Positive,No,3,Male
20,70,7,Low,Medium,Medium,2,No,Yes,Neutral,No,4,Male
18,92,7,Medium,High,Medium,1,Yes,Yes,Neutral,No,3,Male
21,98,4,Medium,Medium,Low,2,Yes,No,Neutral,No,2,Female
24,65,7,Low,Medium,Low,1,Yes,No,Neutral,No,1,Male
30,80,6,Medium,Low,High,3,Yes,No,Negative,No,4,Female
13,69,5,Low,Medium,Low,0,Yes,Yes,Positive,Yes,1,Female
33,62,10,Medium,High,Medium,0,Yes,Yes,Positive,No,3,Female
8,73,7,Medium,Medium,Medium,0,No,No,Neutral,No,3,Female
19,66,7,Medium,Medium,High,1,Yes,No,Negative,No,3,Male
24,88,6,Low,Low,Medium,0,Yes,Yes,Negative,No,3,Male
22,81,8,High,Low,High,4,Yes,Yes,Positive,No,5,Female
16,66,5,High,Medium,High,3,Yes,Yes,Positive,No,3,Female
19,60,7,High,Medium,High,3,Yes,Yes,Positive,No,3,Female
17,92,6,Medium,Low,Low,2,Yes,Yes,Positive,Yes,2,Female
16,67,8,Medium,High,Medium,0,Yes,No,Neutral,No,3,Female
25,84,6,Low,Medium,Low,2,Yes,Yes,Positive,No,3,Male
22,73,9,Low,Low,Medium,3,Yes,Yes,Positive,No,3,Female
16,83,7,Low,Medium,High,4,Yes,Yes,Positive,No,3,Female
25,73,8,Medium,Low,Low,3,Yes,No,Positive,No,3,Female
22,63,8,Medium,Low,Low,3,Yes,No,Negative,No,1,Male
25,69,9,Medium,High,Medium,1,Yes,Yes,Negative,Yes,3,Female
24,68,6,Medium,Medium,Medium,1,Yes,Yes,Neutral,No,3,Female
15,77,8,High,Medium,Medium,1,Yes,Yes,Positive,No,2,Male
17,86,4,High,High,Low,2,Yes,Yes,Positive,Yes,3,Female
24,71,7,Medium,Medium,Medium,0,Yes,Yes,Positive,No,3,Male
24,60,6,High,Low,Medium,4,Yes,No,Negative,No,3,Female
20,81,5,Low,Medium,Medium,3,Yes,Yes,Positive,Yes,4,Male
21,84,6,Low,Medium,Medium,1,No,No,Positive,No,3,Male
28,99,6,Medium,Medium,Medium,1,No,Yes,Positive,No,3,Male
16,84,7,Medium,Medium,High,1,Yes,Yes,Neutral,No,2,Female
23,79,6,Medium,Medium,High,1,Yes,Yes,Neutral,No,4,Male
19,83,7,Medium,Medium,Medium,2,Yes,Yes,Negative,Yes,4,Female
19,97,6,High,High,Medium,2,Yes,Yes,Positive,No,2,Female
27,93,6,High,High,Low,2,Yes,No,Negative,No,4,Female
25,73,7,Low,Medium,High,0,Yes,Yes,Neutral,No,4,Male
25,69,7,Medium,Low,High,0,Yes,Yes,Negative,No,3,Female
28,71,8,High,Medium,Medium,1,Yes,No,Neutral,No,1,Female
20,80,8,Medium,Low,High,3,Yes,No,Negative,No,4,Male
24,90,7,Medium,Low,Low,0,Yes,No,Positive,No,3,Male
18,80,8,Low,Medium,Medium,2,Yes,No,Neutral,No,3,Male
22,63,7,Medium,Medium,High,4,Yes,Yes,Negative,No,3,Female
19,89,7,Medium,High,Medium,0,Yes,Yes,Positive,No,3,Male
21,92,8,Low,Medium,Low,0,Yes,Yes,Neutral,No,2,Male
24,72,6,High,High,High,0,Yes,No,Negative,No,6,Female
15,87,4,High,High,Low,0,Yes,Yes,Positive,No,3,Male
33,77,5,Medium,Low,High,0,Yes,Yes,Neutral,No,5,Female
14,96,9,High,Medium,Low,0,Yes,Yes,Negative,Yes,3,Female
13,94,7,Low,Medium,Medium,3,Yes,Yes,Neutral,No,3,Male
27,81,7,Medium,Medium,Medium,2,Yes,Yes,Neutral,Yes,2,Female
25,88,7,Low,Medium,Medium,1,Yes,Yes,Positive,No,3,Male
24,95,8,High,Medium,High,1,Yes,Yes,Neutral,No,3,Male
24,80,7,High,Medium,High,0,Yes,Yes,Positive,No,0,Female
20,73,7,Low,Medium,Medium,1,Yes,Yes,Neutral,No,2,Male
15,90,8,Medium,High,Medium,1,Yes,Yes,Negative,No,3,Female
20,69,6,Low,Medium,High,0,Yes,No,Negative,No,3,Male
16,76,8,Medium,Low,High,1,No,Yes,Positive,No,1,Male
26,95,7,Medium,Low,High,0,Yes,No,Neutral,No,3,Female
19,89,7,Medium,High,Medium,2,Yes,Yes,Negative,No,4,Male
15,76,6,Low,Medium,Medium,0,Yes,Yes,Neutral,No,3,Female
18,69,7,Low,High,High,3,Yes,No,Positive,No,3,Male
22,74,6,Low,High,High,3,Yes,Yes,Positive,No,4,Female
17,71,9,Low,High,Medium,2,Yes,Yes,Neutral,No,5,Male
15,67,4,Medium,Medium,Medium,0,Yes,No,Negative,No,3,Male
21,90,8,Low,Low,Medium,2,Yes,Yes,Negative,Yes,5,Male
21,70,4,Medium,Low,High,0,Yes,Yes,Neutral,No,2,Male
17,78,8,Medium,Medium,High,0,Yes,No,Negative,No,3,Female
17,75,6,Medium,Medium,High,1,No,Yes,Positive,No,5,Male
21,99,8,High,Medium,Medium,4,Yes,No,Positive,No,4,Male
11,76,7,Medium,Medium,Medium,1,No,Yes,Neutral,No,2,Male
12,63,5,Low,Medium,High,0,Yes,Yes,Negative,No,2,Female
16,64,9,Low,Low,Medium,1,Yes,Yes,Positive,No,3,Female
19,84,8,High,Low,Medium,2,Yes,Yes,Neutral,No,3,Male
22,84,8,Medium,High,Medium,3,No,No,Neutral,No,4,Male
29,77,6,Medium,Low,High,1,Yes,No,Positive,No,1,Male
25,77,8,High,Medium,Low,0,No,Yes,Positive,No,5,Female
19,62,5,Low,Medium,Medium,2,Yes,No,Positive,No,3,Male
20,81,4,Medium,High,Medium,1,Yes,Yes,Positive,No,2,Male
14,80,5,Medium,High,Medium,1,Yes,Yes,Positive,No,4,Female
20,66,6,High,Medium,Medium,0,Yes,No,Neutral,No,1,Female
18,64,6,High,Medium,Medium,2,Yes,Yes,Positive,No,2,Male
22,65,6,Medium,Low,High,2,Yes,Yes,Positive,Yes,3,Female
15,64,6,High,Medium,Medium,2,Yes,Yes,Positive,Yes,4,Female
23,84,6,Low,High,Medium,2,Yes,Yes,Negative,No,2,Female
29,68,4,Medium,Medium,High,1,Yes,Yes,Negative,No,4,Male
19,70,7,Low,Medium,Medium,3,No,No,Neutral,No,5,Male
22,67,7,Low,Low,Medium,1,Yes,No,Positive,No,3,Female
24,98,6,Medium,High,Medium,1,Yes,Yes,Positive,No,4,Male
18,94,9,Low,Medium,High,1,Yes,Yes,Positive,No,2,Male
21,69,7,Medium,High,High,2,Yes,Yes,Neutral,No,3,Male
20,73,7,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,4,Female
21,68,8,Low,Medium,Low,0,Yes,No,Positive,No,4,Male
15,80,5,Medium,Low,High,4,Yes,No,Positive,No,3,Female
20,61,7,Medium,Medium,Medium,1,Yes,No,Neutral,No,3,Male
23,87,8,Medium,High,High,1,Yes,No,Positive,No,3,Male
29,81,7,Medium,High,Medium,2,Yes,No,Neutral,No,4,Male
26,96,5,Medium,Medium,Medium,1,No,Yes,Positive,No,2,Male
33,67,6,High,Medium,Medium,0,Yes,Yes,Neutral,No,3,Female
15,92,7,Low,Medium,Low,1,Yes,Yes,Negative,No,5,Female
